Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-07
Horizontal Delay,0.0527
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-1.04
,
,
,
Label,
TIME,CH1
5.269833e-02,1.32
5.269833e-02,1.32
5.269833e-02,1.34
5.269833e-02,1.32
5.269833e-02,1.34
5.269833e-02,1.34
5.269833e-02,1.34
5.269833e-02,1.36
5.269833e-02,1.36
5.269833e-02,1.34
5.269833e-02,1.34
5.269833e-02,1.36
5.269833e-02,1.36
5.269833e-02,1.36
5.269833e-02,1.36
5.269833e-02,1.36
5.269833e-02,1.36
5.269833e-02,1.36
5.269833e-02,1.34
5.269833e-02,1.36
5.269834e-02,1.38
5.269834e-02,1.38
5.269834e-02,1.36
5.269834e-02,1.38
5.269834e-02,1.4
5.269834e-02,1.38
5.269834e-02,1.38
5.269834e-02,1.4
5.269834e-02,1.4
5.269834e-02,1.38
5.269834e-02,1.4
5.269834e-02,1.42
5.269834e-02,1.4
5.269834e-02,1.4
5.269834e-02,1.42
5.269834e-02,1.42
5.269834e-02,1.4
5.269834e-02,1.4
5.269834e-02,1.42
5.269834e-02,1.42
5.269834e-02,1.4
5.269834e-02,1.4
5.269834e-02,1.42
5.269834e-02,1.44
5.269834e-02,1.42
5.269835e-02,1.4
5.269835e-02,1.42
5.269835e-02,1.42
5.269835e-02,1.42
5.269835e-02,1.42
5.269835e-02,1.42
5.269835e-02,1.44
5.269835e-02,1.42
5.269835e-02,1.44
5.269835e-02,1.44
5.269835e-02,1.46
5.269835e-02,1.44
5.269835e-02,1.46
5.269835e-02,1.46
5.269835e-02,1.46
5.269835e-02,1.46
5.269835e-02,1.44
5.269835e-02,1.48
5.269835e-02,1.48
5.269835e-02,1.48
5.269835e-02,1.46
5.269835e-02,1.46
5.269835e-02,1.46
5.269835e-02,1.48
5.269835e-02,1.46
5.269836e-02,1.44
5.269836e-02,1.46
5.269836e-02,1.46
5.269836e-02,1.48
5.269836e-02,1.46
5.269836e-02,1.46
5.269836e-02,1.48
5.269836e-02,1.48
5.269836e-02,1.48
5.269836e-02,1.5
5.269836e-02,1.48
5.269836e-02,1.5
5.269836e-02,1.5
5.269836e-02,1.5
5.269836e-02,1.48
5.269836e-02,1.5
5.269836e-02,1.48
5.269836e-02,1.5
5.269836e-02,1.5
5.269836e-02,1.5
5.269836e-02,1.5
5.269836e-02,1.5
5.269836e-02,1.5
5.269836e-02,1.5
5.269836e-02,1.48
5.269837e-02,1.5
5.269837e-02,1.52
5.269837e-02,1.5
5.269837e-02,1.5
5.269837e-02,1.5
5.269837e-02,1.5
5.269837e-02,1.48
5.269837e-02,1.5
5.269837e-02,1.52
5.269837e-02,1.52
5.269837e-02,1.52
5.269837e-02,1.52
5.269837e-02,1.52
5.269837e-02,1.52
5.269837e-02,1.52
5.269837e-02,1.52
5.269837e-02,1.52
5.269837e-02,1.52
